tweet_id,text,fairness,non-moral,purity,degradation,loyalty,care,cheating,betrayal,subversion,authority,harm
2.04891e+16,you have done more in months to make us want to question our citizenship of any time in the history of the us you are deplorable,0,0,0,0,0,0,0,0,1,0,0
7.01003e+16,that is what wants unchecked power for himself and the dissolution of our democratic ideals and most sacred institutions for his personal gain and ultimate authority resist,0,1,0,0,0,0,0,0,0,0,0
2.63114e+17,dear god please protect the at user ùª � ù ª frankenstorm,0,0,0,0,0,1,0,0,0,0,0
6.35532e+17,the bearded patriot beardcast at soundcloud libertarian rebuild liberty freedomretweet all lives matter,0,1,0,0,0,0,0,0,0,0,0
5.20738e+17,surah all baqara verse fain would they deceive allah and those who believe but they only deceive themselves and realise it not,0,0,0,0,0,0,1,0,0,0,0
2.59299e+17,followfriday newark nj mayor at user his dedication to the city and humor are of many reasons to make him a top priority to follow,0,0,0,0,0,0,0,0,0,1,0
5.95051e+17,truth hurts all lives matter,0,0,0,0,0,0,0,0,0,0,1
2.64153e+17,mittromney no taxes for yrs mormon loophole url at user at user at user at user at user at user at user sandy,0,1,0,0,0,0,0,0,0,0,0
5.90308e+17,freddie gray was muscular wld take a lot of force repeated blows sever spine bpd must ve struck him with object,0,1,0,0,0,0,0,0,0,0,0
5.5128e+16,a stormy daniels situation donald trump is porn star non scandal is this an accurate story,0,1,0,0,0,0,0,0,0,0,0
5.89045e+17,i also saw a really cute subdued blue purple and pink floral maxi dress with scoop front back and fitted elbow sleeves ghanastyle,0,1,0,0,0,0,0,0,0,0,0
2.62973e+17,freedom vs frankenstorm we vote in days,0,1,0,0,0,0,0,0,0,0,0
5.92149e+17,when penn state troglodytes rioted b c a pedophile protector got fired i did not hear any anger from media freddie gray,0,0,0,0,0,0,0,1,0,0,0
5.93191e+17,for the love of god all lives matter all lives matter all lives matter all lives matter all lives matter all lives matter all lives matter,0,1,0,0,0,0,0,0,0,0,0
7.5142e+17,i stand with you against all those who intend inflict harm on any human being because all lives matter,0,1,0,0,0,0,0,0,0,0,0
5.93035e+17,justice delayed is justice denied wat gb black lives matter,0,1,0,0,0,0,0,0,0,0,0
5.41435e+17,black lives matter america is racial degeneracy and cowardice,0,0,0,1,0,0,0,0,0,0,0
6.28247e+17,black lives matter all lives matter please support honest convos on social justice issues keep your head up podcast,0,1,0,0,0,0,0,0,0,0,0
5.43806e+17,syrian solidarity syria i ca not breathe black lives matter ferguson millions march nyc ya me canse isis c romnibus,0,0,0,0,1,0,0,0,0,0,0
