tweet_id,text,fair,amoral,pure,degradation,allegiance,care,cheating,betrayal,collapse,leadership,harm
4.62708e+16,i do respect him putin,0,0,0,0,0,0,0,0,0,1,0
2.6303e+17,holy winds vermont hurricanesandy,0,1,0,0,0,0,0,0,0,0,0
7.57585e+17,here we go this is how inderstanding compassion and healing begins black lives matter because all lives matter,0,0,0,0,0,1,0,0,0,0,0
4.72163e+17,i hate lying ass bitches angry face,0,0,0,0,0,0,1,1,0,0,0
14107.0,paula patton pussy got a nigga on stage on his knees talmbout he got ta get her back tonight,0,0,0,0,0,1,0,0,0,0,0
5.57728e+17,blacklivesmatter degenerates continue retrograde behavior black lives matter hands up do not shoot all lives matter tcot,0,1,0,0,0,0,0,0,0,0,0
5.94649e+17,i will be livestreaming from the national day of action for freddie gray oakland black spring,0,0,0,0,1,0,0,0,0,0,0
8756510000000000.0,wants to bring justice and child rights in other countries lol,1,0,0,0,0,0,0,0,0,0,0
8.37391e+17,and why are there no mma specific category b awards,0,1,0,0,0,0,0,0,0,0,0
2993.0,shown a tiny kitten you dumb fucking cunt,0,1,0,0,0,0,0,0,0,0,0
5.93075e+17,praying for my city that i hate to love prayers to freddie gray family sho nuff our actions speaking,0,0,0,0,0,1,0,0,0,0,0
7.97629e+17,having anxiety is the most silently painful experience it makes no sense and you sit there alone and suffer for a unknown rea,0,0,0,0,0,0,0,0,0,0,1
6.93052e+17,years up from slavery are we truly free black lives matter justice or else,1,0,0,0,0,0,0,0,0,0,0
16590.0,ion feel dese nihhas or bitches,0,1,0,0,0,0,0,0,0,0,0
5.93131e+17,same cynical dems who want to give black ppls jobs to illegal aliens are blaming baltimore riots on lack of oppty,0,1,0,0,0,0,0,0,0,0,0
6.67036e+17,blm respect it,0,1,0,0,0,0,0,0,0,0,0
7.50762e+17,i am striving for equality and preaching the truth that is all lives matter,1,0,0,0,0,0,0,0,0,0,0
2.63331e+17,countdown to insurance companies denying that sandy is an act of god so that they can refuse to pay out,0,0,0,0,0,0,1,0,0,0,0
15955.0,she eating pussy but do not eat vegetables,0,1,0,0,0,0,0,0,0,0,0
8.02966e+17,when disunity disparity become divestments for dignity does there remain anything divine to defend but despair denial and destitution,0,0,0,0,0,0,0,1,0,0,0
7.56354e+17,how horrible that black lives matter forgets to champion those suffering in chicago being killed and these lives matter all lives matter,0,1,0,0,0,0,0,0,0,0,0
2.64132e+17,corporate donors pledge support salvation army following hurricane sandy the salvation army eds url howtohelp,0,0,0,0,1,1,0,0,0,0,0
2.48276e+16,trump it is either you did not vet flynn and manafort or you are neck deep with russian collusion do tell us cnn msnbc,0,0,0,0,0,0,0,0,1,0,0
7.08663e+17,shutting down freedom black lives matter do not believe freedom for all now threaten violent harm trump voters so black lives matter protests being profiled as thugs by acting like thugs wow just wow,0,0,0,0,0,0,1,0,0,0,1
2.63278e+17,seems like every sandy photo shared on social media is fake thank god that real reporters real photography and real news still exist,1,0,0,0,0,0,1,0,0,0,0
5.46495e+17,nypd lives matter sickening to see this happen de blasio holder stfu you are traitors to peace police lives matter all lives matter,0,0,0,1,0,0,0,0,0,0,0
6.69646e+17,respect black lives matter melanin black royalty,0,1,0,0,0,0,0,0,0,0,0
5.93342e+17,my girl be pissing me off all day long i just wait till we have sex and slap the hell out of her so she will not call the police on me,0,0,0,0,0,0,0,0,0,0,1
2.63118e+17,at user caro solidarity staysafe,0,0,0,0,1,0,0,0,0,0,0
5.44199e+16,beautiful remarks by at march for life ucwe cherish the sacred dignity of every human life ud icymi,0,0,1,0,0,0,0,0,0,1,0
