tweet_id,text,fairness,non-moral,purity,degradation,loyalty,care,cheating,betrayal,subversion,authority,harm
4.62708e+16,i do respect him putin,0,0,0,0,0,0,0,0,0,1,0
2.6303e+17,holy winds vermont hurricanesandy,0,1,0,0,0,0,0,0,0,0,0
7.57585e+17,here we go this is how inderstanding compassion and healing begins black lives matter because all lives matter,0,0,0,0,0,1,0,0,0,0,0
4.72163e+17,i hate lying ass bitches angry face,0,0,0,0,0,0,1,1,0,0,0
14107.0,paula patton pussy got a nigga on stage on his knees talmbout he got ta get her back tonight,0,0,0,0,0,1,0,0,0,0,0
5.57728e+17,blacklivesmatter degenerates continue retrograde behavior black lives matter hands up do not shoot all lives matter tcot,0,1,0,0,0,0,0,0,0,0,0
5.94649e+17,i will be livestreaming from the national day of action for freddie gray oakland black spring,0,0,0,0,1,0,0,0,0,0,0
8756510000000000.0,wants to bring justice and child rights in other countries lol,1,0,0,0,0,0,0,0,0,0,0
8.37391e+17,and why are there no mma specific category b awards,0,1,0,0,0,0,0,0,0,0,0
2993.0,shown a tiny kitten you dumb fucking cunt,0,1,0,0,0,0,0,0,0,0,0
